,shop_id,ORANGE BARLEY 1.5L item_price,GINGER BEER 1.5L item_price,TONIC PET 500ML item_price,CREAM SODA 1L item_price,STRAWBERRY MILK 180ML item_price,CREAM SODA 1.5L item_price,TWISTEE APPLE 1L item_price,FIT O MIXED FRUIT 200ML item_price,SODA PET 1.5L item_price,FIT O MIXED FRUIT 1L item_price,KIK COLA 1L item_price,LEMONADE 500ML item_price,FIT O ORANGE 1L item_price,NECTO 1.5L item_price,LEMONADE 1.5L item_price,GINGER BEER 1L item_price,FIT O MANGO 200ML item_price,FIT O MANGO 1L item_price,CREAM SODA 500ML item_price,FIT O ORANGE 200ML item_price,CREAM SODA APPLE POP 1L item_price,BOTTLED DRINKING WATER 500ML item_price,SODA 500ML item_price,GINGER BEER 500ML item_price,SODA 1L item_price,NECTO 500ML item_price,ORANGE CRUSH 500ML item_price,BOTTLED DRINKING WATER 1.5L item_price,NECTO 1L item_price,GINGER BEER SUGAR FREE 500ML item_price,ORANGE CRUSH 1.5L item_price,DRY GINGER ALE PET 500ML item_price,LEMONADE 1L item_price,ORANGE CRUSH 1L item_price,GINGER BEER 400ML item_price,CHOCOLATE MILK 180ML item_price,LIME CRUSH JUICE 1L item_price
13,SHOP104,220,220,160,150,70,220,0,70,160,290,120,100,290,220,220,150,70,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,120,150,100,0,0
14,SHOP091,220,220,160,150,140,220,0,60,160,290,120,100,290,220,220,150,70,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,120,150,100,0,0
15,SHOP015,220,220,320,0,70,220,0,60,160,290,120,100,290,220,220,0,70,290,100,70,150,35,70,100,110,100,100,70,0,80,220,160,0,0,100,0,0
16,SHOP062,220,220,160,150,70,220,0,70,160,290,120,100,290,220,220,150,70,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
17,SHOP084,220,220,160,150,70,220,0,120,160,290,120,100,290,220,220,150,60,290,100,60,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
18,SHOP032,220,220,160,150,70,220,270,60,160,290,120,100,290,220,220,150,60,290,100,60,150,35,70,100,110,100,100,70,150,80,220,160,120,150,100,0,0
19,SHOP041,220,220,160,150,70,220,0,60,160,290,120,100,290,220,220,150,60,290,100,60,150,35,70,100,110,100,100,70,150,80,220,160,120,150,100,0,0
20,SHOP051,220,220,160,150,70,220,0,60,160,290,120,100,290,220,220,150,60,290,100,60,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
21,SHOP066,220,220,160,0,140,220,0,60,160,290,120,100,290,220,220,0,60,290,100,70,150,35,70,100,110,100,100,70,0,80,220,160,0,0,100,0,0
22,SHOP088,220,220,160,150,70,220,0,70,320,290,120,100,290,220,220,150,70,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
23,SHOP006,220,220,160,150,70,220,0,70,160,290,120,100,290,220,220,150,70,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,120,150,100,0,0
24,SHOP120,220,220,160,150,140,220,0,140,160,270,120,100,290,220,220,150,60,270,100,60,150,35,70,100,110,100,100,70,150,80,220,160,120,150,100,0,0
25,SHOP036,220,220,160,150,70,220,290,70,160,290,120,100,290,220,220,0,60,290,100,70,150,35,70,100,110,100,100,70,0,80,220,320,0,0,100,70,0
26,SHOP027,220,220,160,150,70,220,270,60,160,290,120,100,290,220,220,150,70,290,100,60,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
27,SHOP011,220,220,160,150,70,220,0,60,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
28,SHOP077,220,220,160,150,70,220,0,70,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,650
29,SHOP069,220,220,160,0,140,220,0,60,160,290,120,100,290,220,220,0,60,290,100,70,150,35,70,100,110,100,100,70,0,80,220,160,0,0,100,0,0
30,SHOP016,220,220,160,150,70,220,0,60,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,160,220,160,120,150,100,0,650
31,SHOP106,220,220,160,150,70,220,270,60,160,290,120,100,290,220,220,150,60,290,100,60,150,35,70,100,110,100,100,70,150,80,220,160,120,150,100,0,0
32,SHOP031,220,220,160,0,70,220,0,70,160,290,120,100,290,220,220,0,60,290,100,70,150,35,70,100,110,100,100,70,0,80,220,320,0,0,100,0,0
33,SHOP105,220,220,160,0,70,220,270,60,160,290,120,100,290,220,220,0,60,290,100,70,150,35,70,100,110,100,100,70,0,80,220,160,0,0,100,0,0
34,SHOP118,220,220,160,150,70,220,0,70,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
35,SHOP127,220,220,160,150,70,220,270,60,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,650
36,SHOP095,220,220,160,150,70,220,0,60,160,270,0,100,290,220,220,150,60,290,100,60,150,35,70,100,110,100,100,70,0,80,220,160,120,150,100,0,0
37,SHOP060,220,220,160,150,70,220,0,70,160,290,120,100,290,220,220,150,70,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
38,SHOP067,220,220,160,150,70,220,0,60,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
39,SHOP071,0,220,160,150,140,220,270,60,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,120,150,100,0,0
40,SHOP073,220,220,160,150,70,220,0,60,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
41,SHOP035,220,220,160,150,350,220,270,120,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,120,150,200,350,0
42,SHOP021,220,220,160,150,140,220,0,70,160,270,120,100,290,220,220,150,60,290,100,140,150,35,70,100,110,100,100,70,150,80,220,320,120,150,100,0,0
43,SHOP103,220,220,160,150,70,220,0,60,160,290,120,100,290,220,220,150,70,290,100,70,150,35,70,100,110,100,100,70,150,80,220,150,0,150,100,0,0
44,SHOP053,220,220,160,150,70,220,0,70,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,120,150,100,0,0
45,SHOP085,220,220,160,150,70,220,0,60,160,290,120,100,290,220,220,150,60,290,100,60,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,350,0
46,SHOP063,220,220,480,150,70,220,0,60,160,290,120,100,290,220,220,150,120,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,120,150,100,0,0
47,SHOP048,220,220,160,150,140,220,0,60,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,140,0
48,SHOP055,220,220,160,150,70,220,0,70,160,270,120,100,290,220,220,150,60,290,100,60,150,35,70,100,110,100,100,70,150,80,220,0,0,150,100,140,0
49,SHOP125,220,220,320,150,140,220,0,60,160,270,120,100,290,220,220,150,120,290,100,140,150,35,70,100,110,100,100,70,0,160,220,160,120,150,100,0,650
50,SHOP014,220,220,160,150,140,220,0,60,160,290,120,100,290,220,220,150,60,270,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,350,0
51,SHOP008,220,220,160,150,140,220,0,70,160,290,120,100,290,220,220,150,140,290,100,70,150,70,70,100,110,100,100,70,150,80,220,0,0,0,0,65,0
52,SHOP089,220,220,160,150,70,220,270,60,160,290,120,100,290,220,220,150,120,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,120,150,100,0,650
53,SHOP075,220,220,160,150,70,220,0,70,160,270,120,100,290,220,220,150,70,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
54,SHOP020,220,220,160,150,140,220,0,70,160,290,120,100,290,220,220,150,60,290,100,60,150,35,70,100,110,100,100,70,150,80,220,320,0,150,100,140,0
55,SHOP086,220,220,160,150,70,220,0,70,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
56,SHOP026,220,220,160,150,140,220,0,70,160,290,120,100,290,220,220,150,70,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,280,0
57,SHOP068,220,220,160,150,70,220,0,70,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,390,0
58,SHOP090,220,220,160,150,70,220,0,60,160,290,120,100,290,220,220,150,60,270,100,140,150,35,70,100,110,100,100,70,150,80,220,150,120,150,100,0,0
59,SHOP022,220,220,160,150,70,220,0,70,160,290,120,100,290,220,220,150,60,290,100,140,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
60,SHOP052,220,220,300,150,70,220,0,120,150,290,120,100,290,220,220,150,140,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,120,150,100,0,0
61,SHOP039,220,220,160,150,140,220,0,60,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,280,0
62,SHOP003,220,220,160,150,70,220,0,60,160,290,120,100,290,220,220,150,60,290,100,140,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
63,SHOP037,220,220,160,150,70,220,0,70,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
64,SHOP059,220,220,160,150,70,220,270,60,160,290,120,100,290,220,220,150,70,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
65,SHOP043,220,220,160,150,140,220,0,60,160,290,360,100,290,220,220,150,70,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
66,SHOP028,220,220,160,150,70,220,0,60,160,270,120,100,290,220,220,150,60,290,100,140,150,35,70,100,110,100,100,70,150,80,220,160,120,150,100,0,0
67,SHOP099,220,220,160,150,210,220,0,70,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,120,150,100,280,0
68,SHOP033,220,220,160,150,70,220,0,60,160,290,120,100,290,220,220,150,60,290,100,140,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
69,SHOP013,220,220,160,150,140,220,0,70,160,270,120,100,290,220,220,150,70,270,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,650
70,SHOP058,220,220,160,150,70,220,0,70,160,290,120,100,290,220,220,150,70,290,100,70,150,35,70,100,110,100,100,70,150,160,220,160,0,150,100,0,0
71,SHOP113,220,220,160,150,70,220,0,60,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,320,0,150,100,0,0
72,SHOP126,220,220,160,0,140,220,0,70,160,270,120,100,290,220,220,0,60,290,100,60,150,35,70,100,110,100,100,70,0,80,220,160,0,0,100,0,0
73,SHOP040,220,220,160,150,140,220,0,70,160,290,120,100,290,220,220,150,70,290,100,70,150,35,70,100,110,100,100,70,150,80,220,150,0,150,100,0,0
74,SHOP025,220,220,320,150,70,220,0,60,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
75,SHOP082,220,220,160,150,140,220,0,70,160,290,120,100,290,220,220,150,70,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
76,SHOP111,220,220,160,150,70,220,0,120,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,750,80,220,160,0,150,100,0,0
77,SHOP072,220,220,160,150,70,220,0,210,160,290,120,100,290,220,220,150,70,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,280,0
78,SHOP078,220,220,160,150,70,220,0,60,160,290,120,100,290,220,220,150,70,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
79,SHOP112,220,220,160,150,70,220,0,60,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,200,0,0
80,SHOP094,220,220,160,150,70,220,0,60,160,290,120,100,290,220,220,150,60,290,100,60,150,35,70,100,110,100,100,140,150,80,220,150,0,150,100,0,0
81,SHOP018,220,220,160,150,70,220,0,70,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,320,0,150,100,210,0
82,SHOP122,220,220,160,150,70,220,0,70,160,270,120,100,290,220,220,150,70,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,210,0
83,SHOP017,220,220,160,150,70,220,0,60,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,320,0,150,100,0,0
84,SHOP045,220,220,160,150,70,220,0,70,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
85,SHOP007,220,220,160,150,70,220,0,120,160,270,120,100,290,220,220,150,60,290,100,120,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
86,SHOP119,220,220,160,150,70,220,0,70,160,270,120,100,290,220,220,150,70,270,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,280,0
87,SHOP001,220,220,160,150,70,220,0,60,160,270,120,100,290,220,220,150,120,290,100,60,150,35,70,100,110,100,100,70,150,80,220,160,120,150,100,0,0
88,SHOP054,220,220,160,150,70,220,0,120,160,290,0,100,290,220,220,150,60,290,100,60,150,35,70,100,110,100,100,70,150,80,220,160,120,150,100,0,0
89,SHOP102,220,220,160,150,70,220,0,60,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,280,0
90,SHOP115,220,220,320,150,70,220,0,60,160,290,0,100,290,220,220,150,60,290,100,120,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
91,SHOP079,220,220,160,150,70,220,0,70,160,290,120,100,290,220,220,150,70,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
92,SHOP049,220,220,160,150,70,220,270,60,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
93,SHOP121,220,220,160,150,70,220,0,70,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
94,SHOP010,220,220,160,150,140,220,0,60,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,0,80,220,160,0,150,100,0,0
95,SHOP124,220,220,160,150,70,220,0,70,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
96,SHOP012,220,220,160,0,70,220,0,120,160,270,120,100,290,220,220,0,60,290,100,70,150,35,70,100,110,100,100,70,0,80,220,160,120,0,100,70,0
97,SHOP093,220,220,320,150,70,220,0,60,160,270,120,100,290,220,220,150,60,270,100,60,150,35,70,100,110,100,100,70,150,80,220,160,120,150,100,0,0
98,SHOP004,220,220,160,150,140,220,0,60,160,270,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,160,220,300,120,150,100,0,0
99,SHOP101,220,220,160,150,70,220,270,70,160,290,120,100,290,220,220,150,70,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,650
100,SHOP046,220,220,160,150,70,220,0,60,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,320,0,150,100,0,0
101,SHOP024,220,220,320,150,70,220,0,60,160,290,120,100,290,220,220,150,60,290,100,60,150,35,70,100,110,100,100,70,150,80,220,160,120,150,100,0,0
102,SHOP023,220,220,160,150,140,220,0,60,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,140,0
103,SHOP097,220,220,160,0,140,220,0,140,160,290,120,100,290,220,220,0,60,290,100,60,150,35,70,100,110,100,100,70,0,80,220,160,0,0,100,0,0
104,SHOP044,220,220,160,150,70,220,0,60,160,270,120,100,290,220,220,150,60,290,100,60,150,35,70,100,110,100,100,70,150,80,220,160,120,150,100,0,0
105,SHOP030,220,220,160,150,70,220,0,70,160,290,120,100,290,220,220,150,120,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,120,150,100,0,0
106,SHOP038,220,220,160,0,70,220,0,60,160,290,120,100,290,220,220,0,60,290,100,140,150,35,70,100,110,100,100,70,0,80,220,160,120,0,100,0,0
107,SHOP029,220,220,160,150,70,220,0,70,160,290,240,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
108,SHOP096,220,220,160,150,70,220,0,70,160,290,120,100,290,220,220,150,70,290,100,70,150,35,70,100,110,100,100,70,150,80,220,320,0,150,100,0,0
109,SHOP092,220,220,160,150,70,220,0,60,160,270,120,100,290,220,220,150,70,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
110,SHOP081,220,220,160,150,70,220,0,60,160,290,0,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,480,120,150,100,0,0
111,SHOP076,220,220,160,150,70,220,0,60,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,120,150,100,0,0
112,SHOP080,220,220,160,150,140,220,0,70,160,290,120,100,290,220,220,150,60,290,100,60,150,35,70,100,110,100,100,70,150,80,220,480,120,150,100,0,0
113,SHOP074,220,220,160,150,140,220,0,60,160,290,120,100,290,220,220,150,70,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
114,SHOP107,220,220,160,150,70,220,270,140,160,270,120,100,290,220,220,150,70,270,100,70,150,35,70,100,110,100,100,70,150,80,220,160,120,150,100,210,0
115,SHOP108,220,220,160,150,70,220,270,60,160,270,120,100,290,220,220,150,60,290,100,60,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
116,SHOP019,220,220,160,0,70,220,0,60,160,290,120,100,290,220,220,0,60,290,100,70,150,35,70,100,110,100,100,70,0,80,220,160,0,0,100,0,0
117,SHOP002,220,220,160,150,70,220,0,70,160,290,120,100,290,220,220,150,60,270,100,70,150,35,70,100,110,100,100,70,0,80,220,160,0,150,100,0,0
118,SHOP114,220,220,160,150,70,220,0,70,160,290,120,100,290,220,220,150,70,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,210,0
119,SHOP087,220,220,160,150,70,220,290,60,160,270,120,100,290,220,220,150,60,270,100,60,150,35,70,100,110,100,100,0,150,80,220,160,0,150,0,0,0
120,SHOP050,220,220,160,0,140,220,0,120,160,290,120,100,290,220,220,0,60,290,100,120,150,35,70,100,110,100,100,70,0,80,220,320,0,0,100,0,0
121,SHOP061,220,220,160,150,70,220,0,70,160,270,120,100,290,220,220,150,70,290,100,60,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
122,SHOP056,220,220,160,150,70,220,0,60,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
123,SHOP070,220,220,320,150,70,220,0,60,160,270,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,210,0
